epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6718,1.29815,2.80208,1.66583,0.00482,0.90476,0.2298,0.10459,1.36299,2.89432,1.75425,0.00045009,0.00045009,0.00045009
2,36.4522,1.2288,2.3242,1.64855,0.36523,0.16158,0.2247,0.09288,1.95449,2.58594,2.50543,0.000886594,0.000886594,0.000886594
3,49.2881,1.33676,2.24638,1.69908,0.07375,0.11905,0.03108,0.0069,2.76985,4.07946,3.34065,0.00129229,0.00129229,0.00129229
4,61.381,1.37498,2.18505,1.71884,0.22313,0.30952,0.15684,0.0682,1.99525,5.45986,2.83972,0.00150197,0.00150197,0.00150197
5,74.3971,1.32728,2.0668,1.70447,0.19943,0.18408,0.08958,0.02778,2.56651,4.72652,3.05234,0.00144696,0.00144696,0.00144696
6,86.6082,1.36913,2.00974,1.71706,0.11307,0.14286,0.06888,0.03402,2.13987,4.38021,2.67643,0.00139195,0.00139195,0.00139195
7,98.7718,1.30034,1.91853,1.64098,0.216,0.17857,0.10544,0.03155,2.58742,3.7152,3.67884,0.00133693,0.00133693,0.00133693
8,111.534,1.31713,1.86643,1.65842,0.40705,0.30952,0.28341,0.10137,2.1092,4.03724,2.85373,0.00128192,0.00128192,0.00128192
9,123.632,1.21461,1.77573,1.58911,0.26492,0.33079,0.21484,0.1017,2.24854,3.51356,2.95852,0.00122691,0.00122691,0.00122691
10,135.751,1.22031,1.70955,1.5835,0.29285,0.38095,0.34112,0.17241,2.00392,2.40154,2.40088,0.0011719,0.0011719,0.0011719
11,147.997,1.23856,1.67715,1.62014,0.35545,0.49718,0.36914,0.19289,1.84227,1.98033,2.29919,0.00111689,0.00111689,0.00111689
12,160.612,1.2017,1.60909,1.57942,0.56235,0.33333,0.41065,0.19393,1.72835,2.13231,2.17014,0.00106188,0.00106188,0.00106188
13,172.889,1.23119,1.63318,1.55919,0.58515,0.33333,0.3454,0.15243,1.98569,1.99587,2.44241,0.00100687,0.00100687,0.00100687
14,185.255,1.07242,1.44351,1.47777,0.45684,0.42531,0.32374,0.14804,1.8185,1.92149,2.27122,0.000951857,0.000951857,0.000951857
15,197.599,1.09731,1.44691,1.49614,0.54707,0.53571,0.50759,0.23934,1.66412,1.70925,2.05224,0.000896846,0.000896846,0.000896846
16,209.954,1.05868,1.33095,1.4503,0.4566,0.46429,0.45303,0.21469,1.73247,1.80173,2.02085,0.000841835,0.000841835,0.000841835
17,222.136,0.98341,1.23993,1.41622,0.57451,0.38731,0.38281,0.15897,2.02063,2.09737,2.46634,0.000786824,0.000786824,0.000786824
18,234.459,1.02408,1.26916,1.43042,0.49898,0.36905,0.43096,0.227,1.72763,1.97439,2.12722,0.000731813,0.000731813,0.000731813
19,246.892,0.9878,1.20211,1.40865,0.55946,0.4881,0.50003,0.25966,1.57426,1.66635,1.88509,0.000676802,0.000676802,0.000676802
20,259.329,0.96309,1.15741,1.3588,0.41859,0.5,0.47522,0.25683,1.45377,1.73,1.79078,0.000621791,0.000621791,0.000621791
21,270.458,0.88912,1.23061,1.43402,0.46133,0.32143,0.30099,0.13533,2.18582,2.16129,2.63087,0.00056678,0.00056678,0.00056678
22,281.648,0.86316,1.01472,1.4213,0.42593,0.41173,0.36968,0.18168,1.75943,2.14454,2.18225,0.000511769,0.000511769,0.000511769
23,292.816,0.76963,0.92692,1.30323,0.53951,0.45238,0.45573,0.20709,1.87918,1.94513,2.40636,0.000456758,0.000456758,0.000456758
24,303.997,0.77289,0.8737,1.32671,0.59464,0.53571,0.55058,0.30125,1.52363,1.60945,1.91125,0.000401747,0.000401747,0.000401747
25,315.173,0.71512,0.84732,1.26308,0.53615,0.47619,0.49348,0.23721,1.68335,1.64221,2.14318,0.000346736,0.000346736,0.000346736
26,326.38,0.68678,0.76441,1.24441,0.542,0.57143,0.54572,0.28119,1.58071,1.63659,1.96734,0.000291725,0.000291725,0.000291725
27,337.364,0.68036,0.73796,1.2279,0.37077,0.56638,0.48567,0.25837,1.55515,1.78071,1.94167,0.000236714,0.000236714,0.000236714
28,348.398,0.67955,0.70705,1.21992,0.58192,0.57886,0.5505,0.28374,1.49516,1.66675,1.85837,0.000181703,0.000181703,0.000181703
29,359.548,0.63765,0.70376,1.20133,0.55906,0.49053,0.52548,0.27894,1.55337,1.57071,1.96658,0.000126692,0.000126692,0.000126692
30,370.748,0.61687,0.66594,1.1824,0.46877,0.59524,0.5402,0.28077,1.57183,1.64676,2.02229,7.1681e-05,7.1681e-05,7.1681e-05
